model_id,category
4e0171bf-e343-4963-921d-86022ad4a063,wardrobe
e3560eb3-d4e1-4add-8b51-b3dd5ec6943b,double_bed
8ac734f2-d852-48ad-8642-078abe6a7329,table
d10e4af9-745c-4e53-bd61-a39b49097bff,cabinet
2924a537-18e9-428d-9922-ab1460e1f58b,nightstand
0fd96a1b-25fc-4ca8-8fda-703a6cb456fc,ceiling_lamp
39412e5f-0053-4a56-b9ea-63af68632e20,tv_stand
69a2550c-ec04-44d9-a621-e601330a9cb6,single_bed
b9237c75-6b5b-4c0f-a776-5ab036c5fb22,nightstand
fb2c12f1-6169-41d3-b739-e5a48aea86c9,wardrobe
f10369ae-7b27-46b9-aeeb-3ef930a70aaa,shelf
48fe0333-9c9a-47d2-938a-b093a29af8d1,pendant_lamp
a61d62b3-f40c-4099-b55f-0ca94c30e1aa,double_bed
c038d3cf-722c-45d9-88db-45ede34c5cb9,nightstand
ca1f9be7-a10f-4ff3-b4c2-5e16f3946502,cabinet
81c358ca-dd9f-4d4d-8e96-664752f15204,pendant_lamp
4e1f8c18-bedf-43e0-a74f-bb2588be2c9d,wardrobe
5159ffde-a7c7-4d2c-8b07-8c4d088487ee,double_bed
af8f84de-bb38-49e0-9e39-ffd0511dd65b,nightstand
44c0faa6-9d85-45f7-bf87-cf583e6ad88a,pendant_lamp
ff62d9c3-1813-406a-88c2-427eaaee4578,wardrobe
9b07bdb0-5645-4588-b202-9ef637971c46,double_bed
f6e9071f-09fd-4603-ad76-028356d07024,nightstand
7e7f1f8e-812f-402b-b5fc-406719e9ec43,ceiling_lamp
f43310eb-270b-49ec-aef9-11103921b224,double_bed
a97f9900-b489-498b-8973-cb1a69690d35,pendant_lamp
841a57e7-68a6-42bb-b414-77c32424874f,nightstand
6d68928b-d9a7-4ef7-83ed-e863a194d5cf,chair
4cd22dc7-62c2-42a5-89b7-6b3d3303fd40,wardrobe
0bfc7747-1832-49a7-8599-e203db437b7f,pendant_lamp
089ac3ea-b510-4235-91b8-cf6d168adf7c,nightstand
05d628ef-e510-4f6a-8862-ade7405dd3f4,tv_stand
fedb10c6-a980-47f8-96cd-d6fbb53013a2,bookshelf
2bba3e93-a195-4af7-949d-ab8b3e9c64c9,double_bed
074ef4d4-cb22-4a0e-a611-3a579b9b21a2,pendant_lamp
7445b1b0-ce5d-4dac-9665-6e1211d7d454,wardrobe
06cead8d-3a07-466f-a141-4cc4c792d3fd,double_bed
44a785fa-1afe-465c-90ea-5847592b334b,nightstand
4e904746-cb1c-422b-b150-72732c1481ed,cabinet
19035101-21a1-4495-ae95-90d8d1ccd108,wardrobe
8042d0c4-443a-427a-96ee-1fa4fb261da6,single_bed
55393b72-abf5-4e46-9450-9ec5113137e9,ceiling_lamp
5e4c8a81-79dd-43c2-a117-f3b9bda9e560,nightstand
8bcfbbc3-fb54-46d6-b9f6-8029c2fbb3b1,nightstand
bb2babab-9064-4bee-90a1-ce4681d6cb1d,ceiling_lamp
e45091f7-8083-490d-97c7-15e20c9004bd,double_bed
a1134fbd-3471-4531-aafa-dfe0c7e4b395,nightstand
3ef54983-da3a-437f-8404-b3cab19a01e8,ceiling_lamp
bff6e7b4-4e17-401d-b684-dc768def3869,double_bed
9603344b-99b8-43db-abf0-73c7eaf0ea5f,nightstand
28f855f2-fadb-4d8d-917c-44d90ce964bb,wardrobe
